load_case,out_oopDisp_mm_n2,out_supReac_kN_n3,out_supReac_kN_n4,out_verDisp_mm_n5,out_oopDisp_mm_n5,out_endBend_kNm_n6
40001_sd778_sl9_pd195_pl7_sv8_bp11_ba680_bp73,171.21,15.01,47.5,204.1,170.09,184.57
40002_sd661_sl11_pd181_pl6_sv9_bp13_ba740_bp48,193.41,16.27,58.97,256.96,217.1,240.55
40003_sd696_sl8_pd214_pl7_sv9_bp13_ba620_bp68,175.02,14.56,50.22,224.54,158.5,194.56
40004_sd769_sl12_pd150_pl6_sv5_bp11_ba960_bp67,216.49,17.35,62.01,306.49,189.48,236.47
40005_sd740_sl9_pd212_pl7_sv10_bp11_ba910_bp63,238.34,19.53,59.97,292.89,236.51,281.19
40006_sd843_sl11_pd186_pl8_sv10_bp12_ba740_bp62,193.97,16.75,58.74,248.4,205.75,294.86
40007_sd694_sl11_pd159_pl7_sv10_bp12_ba820_bp54,211.01,16.98,57.07,257.12,204.55,269.07
40008_sd648_sl12_pd185_pl11_sv8_bp11_ba700_bp58,166.99,15.9,55.97,237.79,177.95,207.38
40009_sd684_sl8_pd212_pl11_sv8_bp11_ba760_bp66,212.62,15.34,50.77,260.64,221.87,225.69
40010_sd888_sl13_pd165_pl9_sv7_bp13_ba680_bp62,165.64,15.02,52.46,218.99,178.34,180.35
40011_sd792_sl11_pd322_pl8_sv9_bp12_ba930_bp53,224.98,19.13,64.2,273.35,244.05,309.96
40012_sd795_sl9_pd293_pl12_sv7_bp11_ba800_bp64,187.08,15.07,54.03,237.86,174.26,198.06
40013_sd703_sl12_pd159_pl11_sv6_bp12_ba830_bp50,194.95,15.32,53.82,233.25,187.42,176.76
40014_sd900_sl10_pd234_pl10_sv4_bp12_ba770_bp62,175.36,14.86,54.9,225.86,159.74,156.35
40015_sd562_sl9_pd194_pl10_sv4_bp14_ba610_bp50,148.91,12.94,39.93,172.75,142.16,120.22
40016_sd730_sl11_pd183_pl9_sv6_bp12_ba830_bp50,205.46,16.03,57.48,271.04,203.16,221.46
40017_sd768_sl8_pd236_pl7_sv8_bp12_ba620_bp53,166.01,13.91,41.22,183.74,163.36,162.93
40018_sd814_sl13_pd271_pl10_sv9_bp13_ba770_bp43,200.68,19.18,62.09,275.84,213.1,276.38
40019_sd885_sl11_pd212_pl10_sv2_bp13_ba790_bp65,178.31,15.17,54.62,242.5,156.46,179.53
40020_sd824_sl11_pd227_pl12_sv9_bp13_ba670_bp56,169.58,15.63,53.84,235.04,165.29,223.09
40021_sd694_sl9_pd245_pl10_sv7_bp12_ba640_bp52,154.8,15.42,54.04,245.92,148.81,211.63
40022_sd795_sl9_pd252_pl7_sv5_bp13_ba750_bp51,176.77,14.38,50.62,210.37,171.87,178.36
40023_sd852_sl9_pd242_pl6_sv12_bp12_ba680_bp53,389.97,24.11,64.96,377.7,565.79,537.71
40024_sd813_sl10_pd232_pl11_sv7_bp12_ba750_bp61,181.2,15.6,54.39,226.14,175.1,183.75
40025_sd822_sl10_pd225_pl8_sv9_bp12_ba630_bp62,163.37,14.62,49.62,186.95,178.01,201.68
40026_sd746_sl9_pd245_pl11_sv7_bp13_ba880_bp59,202.9,15.96,55.9,246.28,190.01,201.47
40027_sd862_sl9_pd295_pl11_sv7_bp14_ba820_bp52,193.9,16.54,58.3,260.02,172.8,230.99
40028_sd735_sl15_pd168_pl11_sv6_bp12_ba790_bp55,219.62,17.26,55.35,254.91,219.73,201.09
40029_sd788_sl11_pd177_pl12_sv7_bp13_ba740_bp66,179.32,15.7,56.25,250.04,185.75,211.8
40030_sd760_sl11_pd224_pl11_sv6_bp11_ba920_bp52,241.58,17.79,58.76,286.88,237.17,235.16
40031_sd685_sl9_pd167_pl10_sv7_bp13_ba700_bp49,164.18,14.1,49.86,213.74,165.59,160.31
40032_sd663_sl7_pd183_pl6_sv2_bp12_ba700_bp67,157.7,13.66,48.86,200.09,139.8,138.56
40033_sd497_sl7_pd254_pl9_sv10_bp12_ba740_bp82,184.48,15.06,49.31,203.74,175.49,176.45
40034_sd652_sl11_pd52_pl11_sv11_bp10_ba560_bp72,141.85,15.63,47.99,196.94,156.14,192.02
40035_sd687_sl13_pd215_pl8_sv12_bp11_ba620_bp49,172.14,18.25,62.79,338.09,183.56,346.72
40036_sd760_sl10_pd223_pl8_sv8_bp11_ba810_bp71,205.52,15.96,56.19,260.9,209.1,234.71
40037_sd725_sl13_pd266_pl11_sv11_bp13_ba990_bp49,232.77,19.3,64.21,316.47,247.47,316.86
40038_sd757_sl8_pd250_pl11_sv7_bp13_ba640_bp75,151.72,13.47,49.06,194.53,148.43,161.62
40039_sd725_sl8_pd139_pl11_sv9_bp13_ba710_bp71,188.13,15.22,50.49,215.55,203.98,262.18
40040_sd679_sl10_pd205_pl9_sv11_bp10_ba630_bp72,158.09,15.22,47.91,194.09,170.2,200.71
40041_sd763_sl8_pd199_pl12_sv10_bp12_ba680_bp60,196.51,14.17,50.78,214.87,199.42,305.71
40042_sd736_sl12_pd231_pl12_sv6_bp11_ba750_bp43,181.94,15.22,52.59,222.15,163.61,178.79
