,out_oopDisp_mm_n2,out_oopDisp_mm_n5,out_endBend_kNm_n6
13781,0.16271074691532447,0.08737970596533023,0.11596575986511468
34753,0.36156635584440044,0.2634086705745901,0.2457118770467884
41226,0.12877931619101443,0.07560891508103193,0.14667163840342404
33114,0.21658660638598473,0.1653082975455315,0.25660646541940935
9209,0.27842139964208346,0.16164070091846655,0.21070976946272826
4891,0.25129509277573703,0.17156201999937304,0.3560520086897312
48779,0.16541866817368375,0.08825742139744835,0.11509030187088617
14393,0.24587925025901855,0.14534027146484435,0.21871858889141085
44892,0.1997268531600264,0.13729977116704806,0.19375182387082138
41397,0.2961759442403692,0.17646782232531893,0.19846956972860805
35128,0.17768672883111988,0.10886806056236481,0.07723484971304434
1150,0.2580060280681925,0.14411773925582272,0.1743134139619338
40979,0.2256287086747669,0.1871571424093289,0.18840180279498073
36805,0.21896486766506543,0.1418921036958089,0.33513828993871797
25485,0.27755015541113315,0.15704836838970565,0.16589928990629357
2637,0.23660167655646605,0.16024576032099308,0.25941117343795606
10135,0.23450598097390976,0.1559198771198395,0.11783016114911968
43838,0.22805406423660166,0.1522366070029153,0.17387568496481962
23538,0.2476688330036733,0.15980690260493402,0.2650368016601278
30939,0.28404916643119527,0.22105890097489111,0.17045491391329728
7502,0.25395591975134224,0.1460769254882292,0.11653318634285534
5922,0.2973533013092211,0.2182376728002257,0.29010083979118706
46686,0.30856174060469055,0.2418262750384001,0.3309555461885154
17314,0.1904963737402279,0.12545061283345352,0.15207029603449954
45126,0.44734859188094567,0.36964358484060067,0.34382802114068944
38028,0.19113214655740793,0.11994921789285601,0.15182711325832496
30612,0.23770839220118675,0.15344346572207768,0.24092928244868847
32,0.32817650937176224,0.262468261183035,0.33393858824292344
37359,0.23422341527738536,0.16770634149399705,0.23214227813624724
2180,0.2716398229254968,0.1837089746402934,0.29695859407931
14313,0.248752001507017,0.14703300836964356,0.15458318472163682
11806,0.25096543279645844,0.18863045045609855,0.1576959242566713
28254,0.1977959875671094,0.1774082317168741,0.25331539184851337
6094,0.3365357445606103,0.2901789912541926,0.265312408806459
36296,0.16591315814260146,0.1045578508510705,0.14033267403780683
4052,0.2826127908071959,0.1966866242437541,0.2858208229305146
6382,0.28228313082791745,0.17508855521770478,0.29645601634188257
46936,0.25261373269285115,0.1714836525500768,0.1859051262929218
45908,0.2566873881510785,0.14596721105921445,0.1696118802892254
32910,0.21943581049260621,0.15797310429140154,0.21275250478259464
9337,0.30528868795328246,0.17938309143913983,0.2392918517557797
4456,0.32890647075445034,0.20833202720917843,0.31258714049479597
37930,0.2179052463030988,0.1308109463653177,0.2327097046139879
27688,0.10892907601017235,0.07292874831509985,0.09808371972374441
33373,0.2786333239144767,0.2217485345286982,0.3119872896468986
24458,0.24020438918715267,0.20695276010156421,0.18937453389967904
25526,0.29888386549872836,0.18921036958089094,0.22379300282092027
